Category,Coconino
Total_doses_administered,216595
Total_people_one_dose,94481
Total_people_complete,84097
total_pouluation,94481
Male-65 years and older,8505
Male-55-64 years,6066
Male-45-54 years,5814
Male-20-44 years,17666
Male-Less than 20 years,6935
Female-65 years and older,9511
Female-55-64 years,6747
Female-45-54 years,5783
Female-20-44 years,20175
Female-Less than 20 years,7100
"Black or African American, non-Hispanic",831
"Asian or Pacific Islander, non-Hispanic",1749
Hispanic or Latino,7730
Other Race,8105
Unknown,11266
"American Indian or Alaska Native, non-Hispanic",24250
"White, non-Hispanic",40550
