Category,Cochise
Total_doses_administered,194570
Total_people_one_dose,91961
Total_people_complete,76582
total_pouluation,91961
Male-65 years and older,12098
Male-55-64 years,6040
Male-45-54 years,4859
Male-20-44 years,13148
Male-Less than 20 years,7387
Female-65 years and older,14121
Female-55-64 years,7133
Female-45-54 years,5461
Female-20-44 years,13931
Female-Less than 20 years,7676
"American Indian or Alaska Native, non-Hispanic",394
"Asian or Pacific Islander, non-Hispanic",1603
"Black or African American, non-Hispanic",1724
Unknown,11181
Other Race,12735
Hispanic or Latino,28942
"White, non-Hispanic",35382
