Category,Gila
Total_doses_administered,61716
Total_people_one_dose,27427
Total_people_complete,24169
total_pouluation,27427
Male-65 years and older,6014
Male-55-64 years,2260
Male-45-54 years,1295
Male-20-44 years,2610
Male-Less than 20 years,945
Female-65 years and older,6386
Female-55-64 years,2662
Female-45-54 years,1443
Female-20-44 years,2770
Female-Less than 20 years,987
"Black or African American, non-Hispanic",98
"Asian or Pacific Islander, non-Hispanic",226
Hispanic or Latino,1608
"American Indian or Alaska Native, non-Hispanic",2993
Other Race,4430
Unknown,4519
"White, non-Hispanic",13553
