Category,Apache
Total_doses_administered,79453
Total_people_one_dose,35131
Total_people_complete,30386
total_pouluation,35131
Male-65 years and older,3150
Male-55-64 years,2349
Male-45-54 years,1919
Male-20-44 years,4854
Male-Less than 20 years,4822
Female-65 years and older,3812
Female-55-64 years,2553
Female-45-54 years,1966
Female-20-44 years,4769
Female-Less than 20 years,4926
"Black or African American, non-Hispanic",71
"Asian or Pacific Islander, non-Hispanic",167
Hispanic or Latino,669
Unknown,1228
Other Race,1250
"White, non-Hispanic",3944
"American Indian or Alaska Native, non-Hispanic",27802
