Category,Graham
Total_doses_administered,43042
Total_people_one_dose,19327
Total_people_complete,17315
total_pouluation,19327
Male-65 years and older,2004
Male-55-64 years,1370
Male-45-54 years,1321
Male-20-44 years,3281
Male-Less than 20 years,1319
Female-65 years and older,2484
Female-55-64 years,1513
Female-45-54 years,1249
Female-20-44 years,3328
Female-Less than 20 years,1447
"Asian or Pacific Islander, non-Hispanic",68
"Black or African American, non-Hispanic",84
Other Race,868
Hispanic or Latino,2884
Unknown,3828
"White, non-Hispanic",5709
"American Indian or Alaska Native, non-Hispanic",5886
