Category,Arizona
Total_doses_administered,10983288
Total_people_complete,4284855
total_pouluation,7189020
Total_people_one_dose,5000932
Male-65 years and older,596330
Male-55-64 years,345519
Male-45-54 years,314093
Male-20-44 years,794689
Male-Less than 20 years,321234
Female-65 years and older,723246
Female-55-64 years,392362
Female-45-54 years,337879
Female-20-44 years,830190
Female-Less than 20 years,325575
"Black or African American, non-Hispanic",154583
"Asian or Pacific Islander, non-Hispanic",192171
"American Indian or Alaska Native, non-Hispanic",225546
Unknown,451105
Other Race,696234
Hispanic or Latino,983604
"White, non-Hispanic",2297689
