Category,La Paz
Total_doses_administered,19280
Total_people_one_dose,9368
Total_people_complete,7821
total_pouluation,9368
Male-65 years and older,2533
Male-55-64 years,657
Male-45-54 years,336
Male-20-44 years,719
Male-Less than 20 years,420
Female-65 years and older,2509
Female-55-64 years,768
Female-45-54 years,388
Female-20-44 years,632
Female-Less than 20 years,388
"Black or African American, non-Hispanic",42
"Asian or Pacific Islander, non-Hispanic",93
"American Indian or Alaska Native, non-Hispanic",568
Other Race,1217
Hispanic or Latino,1419
Unknown,1947
"White, non-Hispanic",4082
