Category,Yavapai
Total_doses_administered,286047
Total_people_one_dose,129360
Total_people_complete,110336
total_pouluation,129360
Male-65 years and older,28636
Male-55-64 years,10085
Male-45-54 years,5531
Male-20-44 years,11414
Male-Less than 20 years,3358
Female-65 years and older,34557
Female-55-64 years,12698
Female-45-54 years,6583
Female-20-44 years,11569
Female-Less than 20 years,3712
"Black or African American, non-Hispanic",660
"American Indian or Alaska Native, non-Hispanic",1559
"Asian or Pacific Islander, non-Hispanic",1675
Hispanic or Latino,9364
Unknown,18993
Other Race,19094
"White, non-Hispanic",78015
