Category,Yuma
Total_doses_administered,364169
Total_people_one_dose,175999
Total_people_complete,142374
total_pouluation,175999
Male-65 years and older,18261
Male-55-64 years,11395
Male-45-54 years,9939
Male-20-44 years,31373
Male-Less than 20 years,15412
Female-65 years and older,20825
Female-55-64 years,12195
Female-45-54 years,10896
Female-20-44 years,29108
Female-Less than 20 years,15868
"Black or African American, non-Hispanic",923
"American Indian or Alaska Native, non-Hispanic",1272
"Asian or Pacific Islander, non-Hispanic",1293
Other Race,21931
Unknown,30952
"White, non-Hispanic",38115
Hispanic or Latino,81513
