,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,,1559932,17493,94885,128071,45927,17549,7983,15839,2119689,123345,46486,751028,237131,52160,165151,161275
Total_people_one_dose,3169782,852545,10285,54218,70164,25524,9701,4521,8795,1254499,71918,27220,427458,137236,29803,95141,90754
Total_people_complete,2660462,,,,,,,,,,,,,,,,
Total_doses_ordered,5131640,,,,,,,,,,,,,,,,
65 years and older,592677,,,,,,,,,,,,,,,,
55-64 years,305928,,,,,,,,,,,,,,,,
45-54 years,233255,,,,,,,,,,,,,,,,
20-44 years,496705,,,,,,,,,,,,,,,,
Less than 20 years,70718,,,,,,,,,,,,,,,,
65 years and older,29803,,,,,,,,,,,,,,,,
55-64 years,258271,,,,,,,,,,,,,,,,
45-54 years,206486,,,,,,,,,,,,,,,,
20-44 years,454720,,,,,,,,,,,,,,,,
Less than 20 years,62975,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",74334,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",77365,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",118895,,,,,,,,,,,,,,,,
Unknown,422581,,,,,,,,,,,,,,,,
Hispanic or Latino,428969,,,,,,,,,,,,,,,,
Other Race,534673,,,,,,,,,,,,,,,,
"White, non-Hispanic",1512965,,,,,,,,,,,,,,,,
