Category,Coconino
Total_doses_administered,128071
Total_people_one_dose,70164
Total_people_complete,62314
Total_doses_ordered,95562
total_pouluation,147275
Male-65 years and older,7011
Male-55-64 years,5332
Male-45-54 years,4650
Male-20-44 years,13703
Male-Less than 20 years,1606
Female-65 years and older,8097
Female-55-64 years,6139
Female-45-54 years,4970
Female-20-44 years,16230
Female-Less than 20 years,2371
"Black or African American, non-Hispanic",0.0063992930847728
"Asian or Pacific Islander, non-Hispanic",0.0133401744484351
Hispanic or Latino,0.0585200387663189
Other Race,0.1098284020295308
"American Indian or Alaska Native, non-Hispanic",0.1912376717404937
Unknown,0.2420044467248162
"White, non-Hispanic",0.3786699732056325
