Category,Coconino
Total_doses_administered,213218
Total_people_one_dose,94087
Total_people_complete,83050
total_pouluation,94087
Male-65 years and older,8455
Male-55-64 years,6059
Male-45-54 years,5788
Male-20-44 years,17589
Male-Less than 20 years,6907
Female-65 years and older,9461
Female-55-64 years,6735
Female-45-54 years,5760
Female-20-44 years,20063
Female-Less than 20 years,7092
"Black or African American, non-Hispanic",828
"Asian or Pacific Islander, non-Hispanic",1728
Hispanic or Latino,7651
Other Race,8065
Unknown,11342
"American Indian or Alaska Native, non-Hispanic",24107
"White, non-Hispanic",40366
