Category,Arizona
Total_doses_administered,10751254
Total_people_complete,4212687
total_pouluation,7189020
Total_people_one_dose,4953017
Male-65 years and older,591944
Male-55-64 years,343703
Male-45-54 years,311852
Male-20-44 years,786261
Male-Less than 20 years,314718
Female-65 years and older,718099
Female-55-64 years,390358
Female-45-54 years,335556
Female-20-44 years,821416
Female-Less than 20 years,319215
"Black or African American, non-Hispanic",152465
"Asian or Pacific Islander, non-Hispanic",190435
"American Indian or Alaska Native, non-Hispanic",221966
Unknown,445737
Other Race,691927
Hispanic or Latino,966534
"White, non-Hispanic",2283953
