Category,Pinal
Total_doses_administered,537306
Total_people_one_dose,248220
Total_people_complete,217718
total_pouluation,248220
Male-65 years and older,39149
Male-55-64 years,17486
Male-45-54 years,15306
Male-20-44 years,36876
Male-Less than 20 years,12768
Female-65 years and older,44609
Female-55-64 years,20032
Female-45-54 years,15581
Female-20-44 years,33145
Female-Less than 20 years,12653
"Asian or Pacific Islander, non-Hispanic",4956
"Black or African American, non-Hispanic",9216
"American Indian or Alaska Native, non-Hispanic",10584
Other Race,29550
Unknown,30166
Hispanic or Latino,42165
"White, non-Hispanic",121583
