Category,Cochise
Total_doses_administered,190574
Total_people_one_dose,91001
Total_people_complete,75231
total_pouluation,91001
Male-65 years and older,12036
Male-55-64 years,6019
Male-45-54 years,4822
Male-20-44 years,12981
Male-Less than 20 years,7211
Female-65 years and older,14055
Female-55-64 years,7111
Female-45-54 years,5409
Female-20-44 years,13756
Female-Less than 20 years,7498
"American Indian or Alaska Native, non-Hispanic",389
"Asian or Pacific Islander, non-Hispanic",1594
"Black or African American, non-Hispanic",1706
Unknown,11020
Other Race,12726
Hispanic or Latino,28339
"White, non-Hispanic",35227
