Category,Yavapai
Total_doses_administered,282425
Total_people_one_dose,128791
Total_people_complete,109310
total_pouluation,128791
Male-65 years and older,28512
Male-55-64 years,10072
Male-45-54 years,5507
Male-20-44 years,11314
Male-Less than 20 years,3332
Female-65 years and older,34403
Female-55-64 years,12688
Female-45-54 years,6566
Female-20-44 years,11482
Female-Less than 20 years,3682
"Black or African American, non-Hispanic",648
"American Indian or Alaska Native, non-Hispanic",1552
"Asian or Pacific Islander, non-Hispanic",1662
Hispanic or Latino,9256
Unknown,19027
Other Race,19036
"White, non-Hispanic",77610
