Category,Graham
Total_doses_administered,42292
Total_people_one_dose,19188
Total_people_complete,17030
total_pouluation,19188
Male-65 years and older,1995
Male-55-64 years,1365
Male-45-54 years,1316
Male-20-44 years,3259
Male-Less than 20 years,1300
Female-65 years and older,2474
Female-55-64 years,1510
Female-45-54 years,1245
Female-20-44 years,3297
Female-Less than 20 years,1416
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,863
Hispanic or Latino,2856
Unknown,3821
"White, non-Hispanic",5667
"American Indian or Alaska Native, non-Hispanic",5832
