Category,Yuma
Total_doses_administered,352829
Total_people_one_dose,172768
Total_people_complete,139173
total_pouluation,172768
Male-65 years and older,18066
Male-55-64 years,11258
Male-45-54 years,9799
Male-20-44 years,30563
Male-Less than 20 years,15010
Female-65 years and older,20640
Female-55-64 years,12074
Female-45-54 years,10724
Female-20-44 years,28518
Female-Less than 20 years,15422
"Black or African American, non-Hispanic",904
"American Indian or Alaska Native, non-Hispanic",1259
"Asian or Pacific Islander, non-Hispanic",1278
Other Race,20938
Unknown,30842
"White, non-Hispanic",37702
Hispanic or Latino,79845
