Category,Pima
Total_doses_administered,879503
Total_people_one_dose,491594
Total_people_complete,443625
Total_doses_ordered,601813
total_pouluation,1044675
Male-65 years and older,71011
Male-55-64 years,34874
Male-45-54 years,29365
Male-20-44 years,69973
Male-Less than 20 years,15073
Female-65 years and older,93754
Female-55-64 years,43703
Female-45-54 years,35181
Female-20-44 years,81297
Female-Less than 20 years,16445
"Black or African American, non-Hispanic",0.0185946126274934
"American Indian or Alaska Native, non-Hispanic",0.0202768951614544
"Asian or Pacific Islander, non-Hispanic",0.025543436250239
Other Race,0.1271313319527903
Unknown,0.1669263660663068
Hispanic or Latino,0.2215995313205613
"White, non-Hispanic",0.4199278266211549
