,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1291053,279043,6289,20824,37574,11689,4756,3512,3617,514869,21212,17029,207030,54490,10563,47893,31206
Total_people_one_dose,971203,221754,4877,16507,28695,9303,3566,3018,3250,373791,16284,12470,157912,42721,8779,43216,25060
Total_people_complete,313307,63892,,,,,,,,,,,,,,,
Total_doses_ordered,1395300,333697,,,,,,,,,,,,,,,
65 years and older,280189,78855,,,,,,,,,,,,,,,
55-64 years,72548,12213,,,,,,,,,,,,,,,
45-54 years,68167,10496,,,,,,,,,,,,,,,
20-44 years,142749,20926,,,,,,,,,,,,,,,
Less than 20 years,4153,677,,,,,,,,,,,,,,,
65 years and older,227446,68502,,,,,,,,,,,,,,,
55-64 years,44503,7858,,,,,,,,,,,,,,,
45-54 years,42878,7408,,,,,,,,,,,,,,,
20-44 years,83493,13383,,,,,,,,,,,,,,,
Less than 20 years,2544,459,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2209,403,,,,,,,,,,,,,,,
Black or African American,14159,1077,,,,,,,,,,,,,,,
Asian,21949,3078,,,,,,,,,,,,,,,
American Indian or Alaska Native,29298,5551,,,,,,,,,,,,,,,
Hispanic or Latino,79197,8177,,,,,,,,,,,,,,,
Other Race/Unknown,355670,65303,,,,,,,,,,,,,,,
White,469545,138345,,,,,,,,,,,,,,,
