Category,Navajo
Total_doses_administered,74244
Total_people_one_dose,41717
Total_people_complete,35783
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6763
Male-55-64 years,3496
Male-45-54 years,2459
Male-20-44 years,5193
Male-Less than 20 years,2742
Female-65 years and older,7441
Female-55-64 years,3743
Female-45-54 years,2487
Female-20-44 years,4508
Female-Less than 20 years,2852
"Black or African American, non-Hispanic",214
"Asian or Pacific Islander, non-Hispanic",400
Unknown,2099
Hispanic or Latino,2171
Other Race,8047
"White, non-Hispanic",13962
"American Indian or Alaska Native, non-Hispanic",14824
