Category,Cochise
Total_doses_administered,118391
Total_people_one_dose,66755
Total_people_complete,58476
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10650
Male-55-64 years,5147
Male-45-54 years,3710
Male-20-44 years,9518
Male-Less than 20 years,2498
Female-65 years and older,12591
Female-55-64 years,6175
Female-45-54 years,4288
Female-20-44 years,9513
Female-Less than 20 years,2574
"American Indian or Alaska Native, non-Hispanic",314
"Black or African American, non-Hispanic",1239
"Asian or Pacific Islander, non-Hispanic",1286
Unknown,8911
Other Race,10159
Hispanic or Latino,16101
"White, non-Hispanic",28745
