Category,Greenlee
Total_doses_administered,8445
Total_people_one_dose,4805
Total_people_complete,4229
Total_doses_ordered,9770
total_pouluation,10375
Male-65 years and older,551
Male-55-64 years,597
Male-45-54 years,486
Male-20-44 years,1025
Male-Less than 20 years,49
Female-65 years and older,526
Female-55-64 years,411
Female-45-54 years,366
Female-20-44 years,746
Female-Less than 20 years,45
"Black or African American, non-Hispanic",46
"Asian or Pacific Islander, non-Hispanic",48
"American Indian or Alaska Native, non-Hispanic",84
Other Race,130
Unknown,386
"White, non-Hispanic",1992
Hispanic or Latino,2119
