Category,Coconino
Total_doses_administered,148592
Total_people_one_dose,81721
Total_people_complete,73281
Total_doses_ordered,97568
total_pouluation,147275
Male-65 years and older,7645
Male-55-64 years,5969
Male-45-54 years,5378
Male-20-44 years,16179
Male-Less than 20 years,3045
Female-65 years and older,8748
Female-55-64 years,6698
Female-45-54 years,5527
Female-20-44 years,18656
Female-Less than 20 years,3797
"Black or African American, non-Hispanic",585
"Asian or Pacific Islander, non-Hispanic",1211
Hispanic or Latino,5671
Other Race,9451
Unknown,16865
"American Indian or Alaska Native, non-Hispanic",17041
"White, non-Hispanic",30897
