Category,Yavapai
Total_doses_administered,186841
Total_people_one_dose,107160
Total_people_complete,89803
Total_doses_ordered,166680
total_pouluation,232386
Male-65 years and older,23778
Male-55-64 years,8395
Male-45-54 years,4819
Male-20-44 years,9327
Male-Less than 20 years,1872
Female-65 years and older,29694
Female-55-64 years,10768
Female-45-54 years,5603
Female-20-44 years,9479
Female-Less than 20 years,2115
"Black or African American, non-Hispanic",533
"American Indian or Alaska Native, non-Hispanic",1058
"Asian or Pacific Islander, non-Hispanic",1394
Hispanic or Latino,6554
Other Race,16424
Unknown,27130
"White, non-Hispanic",54067
