Category,Apache
Total_doses_administered,31696
Total_people_one_dose,17803
Total_people_complete,11599
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1908
Male-55-64 years,1264
Male-45-54 years,971
Male-20-44 years,2305
Male-Less than 20 years,2395
Female-65 years and older,2016
Female-55-64 years,1387
Female-45-54 years,960
Female-20-44 years,2109
Female-Less than 20 years,2478
"Asian or Pacific Islander, non-Hispanic",162
"Black or African American, non-Hispanic",268
Unknown,992
Other Race,1193
Hispanic or Latino,1728
"White, non-Hispanic",3112
"American Indian or Alaska Native, non-Hispanic",10348
