Category,Pinal
Total_doses_administered,306520
Total_people_one_dose,175526
Total_people_complete,154433
Total_doses_ordered,196918
total_pouluation,455210
Male-65 years and older,29722
Male-55-64 years,13593
Male-45-54 years,12466
Male-20-44 years,28030
Male-Less than 20 years,5216
Female-65 years and older,34077
Female-55-64 years,14526
Female-45-54 years,11208
Female-20-44 years,20796
Female-Less than 20 years,5300
"Asian or Pacific Islander, non-Hispanic",3185
"Black or African American, non-Hispanic",4949
"American Indian or Alaska Native, non-Hispanic",8462
Other Race,18716
Hispanic or Latino,27478
Unknown,35487
"White, non-Hispanic",77249
