Category,Arizona
Total_doses_administered,7039043
Total_people_complete,3407296
Total_doses_ordered,5255270
total_pouluation,7189020
Total_people_one_dose,3878063
Male-65 years and older,513933
Male-55-64 years,294993
Male-45-54 years,254643
Male-20-44 years,596906
Male-Less than 20 years,151596
Female-65 years and older,634149
Female-55-64 years,340184
Female-45-54 years,280015
Female-20-44 years,631862
Female-Less than 20 years,160388
"Black or African American, non-Hispanic",104776
"American Indian or Alaska Native, non-Hispanic",113918
"Asian or Pacific Islander, non-Hispanic",147159
Unknown,420741
Hispanic or Latino,641350
Other Race,655193
"White, non-Hispanic",1794926
