Category,Mohave
Total_doses_administered,152516
Total_people_one_dose,87833
Total_people_complete,72361
Total_doses_ordered,126950
total_pouluation,216985
Male-65 years and older,21383
Male-55-64 years,8311
Male-45-54 years,4212
Male-20-44 years,6942
Male-Less than 20 years,1125
Female-65 years and older,23821
Female-55-64 years,9702
Female-45-54 years,4471
Female-20-44 years,6432
Female-Less than 20 years,1279
"Black or African American, non-Hispanic",600
"American Indian or Alaska Native, non-Hispanic",881
"Asian or Pacific Islander, non-Hispanic",1260
Hispanic or Latino,6074
Unknown,14949
Other Race,15711
"White, non-Hispanic",48358
