Category,Maricopa
Total_doses_administered,2952251
Total_people_one_dose,1690581
Total_people_complete,1451689
Total_doses_ordered,1587440
total_pouluation,4367835
Male-65 years and older,178512
Male-55-64 years,124882
Male-45-54 years,122707
Male-20-44 years,281499
Male-Less than 20 years,74695
Female-65 years and older,231782
Female-55-64 years,144235
Female-45-54 years,136753
Female-20-44 years,306336
Female-Less than 20 years,77412
"American Indian or Alaska Native, non-Hispanic",35867
"Black or African American, non-Hispanic",64708
"Asian or Pacific Islander, non-Hispanic",79894
Unknown,167686
Other Race,259036
Hispanic or Latino,302936
"White, non-Hispanic",780454
