Category,Yavapai
Total_doses_administered,197061
Total_people_one_dose,112538
Total_people_complete,94646
Total_doses_ordered,173670
total_pouluation,232386
Male-65 years and older,24407
Male-55-64 years,8756
Male-45-54 years,5171
Male-20-44 years,10201
Male-Less than 20 years,2219
Female-65 years and older,30448
Female-55-64 years,11184
Female-45-54 years,6019
Female-20-44 years,10348
Female-Less than 20 years,2471
"Black or African American, non-Hispanic",626
"American Indian or Alaska Native, non-Hispanic",1159
"Asian or Pacific Islander, non-Hispanic",1473
Hispanic or Latino,7260
Other Race,17294
Unknown,27702
"White, non-Hispanic",57024
