Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,7549739,34570,161416,125720,23383,9180,55475,18204,3246510,163897,80173,332277,990196,73118,197061,226902
Total_people_complete,3637559,12919,79442,61960,11550,4479,26770,8943,1601756,78114,38190,168562,492024,36622,94646,108639
Total_doses_ordered,5348107,16900,99988,93280,21530,10850,37760,19100,1670401,134660,44300,200332,625076,49512,173670,150598
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,4113689,19305,88493,70289,13073,5291,30199,10035,1841585,93412,45001,189532,553734,40652,112538,127595
Male-65 years and older,529436,1999,7996,10919,1711,572,5994,3182,187401,22118,7106,30448,74349,3659,24407,16204
Male-55-64 years,306336,1341,6223,5289,1042,620,2692,703,132263,8755,3695,14270,37817,2680,8756,9117
Male-45-54 years,270559,1068,5645,3904,936,545,1676,343,133387,4580,2653,13500,33124,3131,5171,8129
Male-20-44 years,649145,2615,17643,10235,2239,1140,3363,604,314980,7763,5581,32313,82905,8039,10201,24065
Male-Less than 20 years,173757,2570,4233,2917,490,106,836,174,88589,1483,3206,6422,22810,2753,2219,6094
Female-65 years and older,652197,2110,9084,12918,2154,540,6350,3082,242172,24665,7811,34922,97772,4430,30448,18307
Female-55-64 years,351985,1473,6895,6378,1190,428,3000,864,152122,10164,3949,15146,46550,2713,11184,9579
Female-45-54 years,295274,1068,5748,4463,862,394,1767,366,147191,4900,2644,12058,38706,2972,6019,8347
Female-20-44 years,683451,2407,20020,10215,1866,845,3498,512,340689,7227,4986,23490,94596,7426,10348,20875
Female-Less than 20 years,181918,2644,4889,2959,572,98,961,183,90911,1594,3334,6368,24140,2779,2471,6463
"Black or African American, non-Hispanic",114093,294,708,1339,79,47,100,35,72040,668,230,5518,11029,36,626,751
"American Indian or Alaska Native, non-Hispanic",123221,11149,18046,336,1120,101,6190,236,39633,973,15982,9138,11815,18,1159,1662
"Asian or Pacific Islander, non-Hispanic",152749,173,1430,1333,68,51,261,78,84184,1354,426,3398,13917,100,1473,772
Unknown,441799,1052,17154,9440,4115,493,5532,2672,181251,15931,2303,38095,84798,2373,27702,34033
Other Race,689341,1318,10215,10655,999,145,4992,1157,281709,16284,8517,20387,70507,2070,17294,11412
Hispanic or Latino,708045,1938,6540,17156,2159,2299,1394,1111,342697,6792,2350,30468,133598,31136,7260,56026
"White, non-Hispanic",1884441,3381,34400,30030,4533,2155,11730,4746,840071,51410,15193,82528,228070,4919,57024,22939
