Category,Navajo
Total_doses_administered,80173
Total_people_one_dose,45001
Total_people_complete,38190
Total_doses_ordered,44300
total_pouluation,112825
Male-65 years and older,7106
Male-55-64 years,3695
Male-45-54 years,2653
Male-20-44 years,5581
Male-Less than 20 years,3206
Female-65 years and older,7811
Female-55-64 years,3949
Female-45-54 years,2644
Female-20-44 years,4986
Female-Less than 20 years,3334
"Black or African American, non-Hispanic",230
"Asian or Pacific Islander, non-Hispanic",426
Unknown,2303
Hispanic or Latino,2350
Other Race,8517
"White, non-Hispanic",15193
"American Indian or Alaska Native, non-Hispanic",15982
