Category,Mohave
Total_doses_administered,163897
Total_people_one_dose,93412
Total_people_complete,78114
Total_doses_ordered,134660
total_pouluation,216985
Male-65 years and older,22118
Male-55-64 years,8755
Male-45-54 years,4580
Male-20-44 years,7763
Male-Less than 20 years,1483
Female-65 years and older,24665
Female-55-64 years,10164
Female-45-54 years,4900
Female-20-44 years,7227
Female-Less than 20 years,1594
"Black or African American, non-Hispanic",668
"American Indian or Alaska Native, non-Hispanic",973
"Asian or Pacific Islander, non-Hispanic",1354
Hispanic or Latino,6792
Unknown,15931
Other Race,16284
"White, non-Hispanic",51410
