Category,Apache
Total_doses_administered,34570
Total_people_one_dose,19305
Total_people_complete,12919
Total_doses_ordered,16900
total_pouluation,71808
Male-65 years and older,1999
Male-55-64 years,1341
Male-45-54 years,1068
Male-20-44 years,2615
Male-Less than 20 years,2570
Female-65 years and older,2110
Female-55-64 years,1473
Female-45-54 years,1068
Female-20-44 years,2407
Female-Less than 20 years,2644
"Asian or Pacific Islander, non-Hispanic",173
"Black or African American, non-Hispanic",294
Unknown,1052
Other Race,1318
Hispanic or Latino,1938
"White, non-Hispanic",3381
"American Indian or Alaska Native, non-Hispanic",11149
