Category,Arizona
Total_doses_administered,7549739
Total_people_complete,3637559
Total_doses_ordered,5348107
total_pouluation,7189020
Total_people_one_dose,4113689
Male-65 years and older,529436
Male-55-64 years,306336
Male-45-54 years,270559
Male-20-44 years,649145
Male-Less than 20 years,173757
Female-65 years and older,652197
Female-55-64 years,351985
Female-45-54 years,295274
Female-20-44 years,683451
Female-Less than 20 years,181918
"Black or African American, non-Hispanic",114093
"American Indian or Alaska Native, non-Hispanic",123221
"Asian or Pacific Islander, non-Hispanic",152749
Unknown,441799
Other Race,689341
Hispanic or Latino,708045
"White, non-Hispanic",1884441
