Category,Coconino
Total_doses_administered,161416
Total_people_one_dose,88493
Total_people_complete,79442
Total_doses_ordered,99988
total_pouluation,147275
Male-65 years and older,7996
Male-55-64 years,6223
Male-45-54 years,5645
Male-20-44 years,17643
Male-Less than 20 years,4233
Female-65 years and older,9084
Female-55-64 years,6895
Female-45-54 years,5748
Female-20-44 years,20020
Female-Less than 20 years,4889
"Black or African American, non-Hispanic",708
"Asian or Pacific Islander, non-Hispanic",1430
Hispanic or Latino,6540
Other Race,10215
Unknown,17154
"American Indian or Alaska Native, non-Hispanic",18046
"White, non-Hispanic",34400
