Category,Graham
Total_doses_administered,23383
Total_people_one_dose,13073
Total_people_complete,11550
Total_doses_ordered,21530
total_pouluation,38476
Male-65 years and older,1711
Male-55-64 years,1042
Male-45-54 years,936
Male-20-44 years,2239
Male-Less than 20 years,490
Female-65 years and older,2154
Female-55-64 years,1190
Female-45-54 years,862
Female-20-44 years,1866
Female-Less than 20 years,572
"Asian or Pacific Islander, non-Hispanic",68
"Black or African American, non-Hispanic",79
Other Race,999
"American Indian or Alaska Native, non-Hispanic",1120
Hispanic or Latino,2159
Unknown,4115
"White, non-Hispanic",4533
