date,inpatient_covid,inpatient_non_covid,inpatient_empty
2021-09-17,1981,6096,681
2021-09-16,2034,6023,701
2021-09-15,2050,6002,695
2021-09-14,2077,5912,753
2021-09-13,2090,5787,841
2021-09-12,2094,5825,813
2021-09-11,2103,5932,690
2021-09-10,2085,5980,682
2021-09-09,2039,6024,683
2021-09-08,2061,5993,689
2021-09-07,2090,5834,816
2021-09-06,2083,5836,821
2021-09-05,2033,5884,815
2021-09-04,2062,5866,811
2021-09-03,2082,5847,815
2021-09-02,2051,5877,833
2021-09-01,2070,5954,737
2021-08-31,2057,5890,811
2021-08-30,2005,5867,883
2021-08-29,1983,5887,881
2021-08-28,1986,5983,812
2021-08-27,1982,6024,780
2021-08-26,1996,6050,727
2021-08-25,1978,6083,730
2021-08-24,1993,6061,719
2021-08-23,1994,5968,812
2021-08-22,1901,6018,844
2021-08-21,1871,6109,789
2021-08-20,1866,6176,746
2021-08-19,1806,6241,738
2021-08-18,1837,6208,717
2021-08-17,1759,6188,801
2021-08-16,1704,6108,901
2021-08-15,1667,6161,901
2021-08-14,1634,6245,838
2021-08-13,1601,6377,756
2021-08-12,1590,6369,767
2021-08-11,1527,6383,797
2021-08-10,1513,6400,783
2021-08-09,1470,6303,907
2021-08-08,1380,6456,846
2021-08-07,1350,6495,832
2021-08-06,1358,6481,834
2021-08-05,1309,6540,820
2021-08-04,1266,6514,887
2021-08-03,1252,6498,913
2021-08-02,1207,6421,1044
2021-08-01,1169,6572,918
2021-07-31,1131,6615,909
2021-07-30,1106,6654,903
2021-07-29,1072,6651,928
2021-07-28,1019,6668,964
2021-07-27,973,6699,979
2021-07-26,919,6675,1057
2021-07-25,835,6718,1100
2021-07-24,845,6802,1025
2021-07-23,866,6899,908
2021-07-22,910,6895,867
2021-07-21,868,6946,861
2021-07-20,841,6926,906
2021-07-19,809,6791,1045
2021-07-18,814,6877,964
2021-07-17,775,6938,946
2021-07-16,745,6990,925
2021-07-15,719,7043,909
2021-07-14,689,7033,926
2021-07-13,669,7038,946
2021-07-12,643,7002,1008
2021-07-11,602,7079,976
2021-07-10,603,7087,978
2021-07-09,550,7163,961
2021-07-08,535,7190,950
2021-07-07,548,7053,1047
2021-07-06,562,6963,1123
2021-07-05,531,6926,1176
2021-07-04,525,7015,1100
2021-07-03,504,7086,1054
2021-07-02,520,7142,981
2021-07-01,530,7199,912
