Category,Cochise
Total_doses_administered,125720
Total_people_one_dose,70289
Total_people_complete,61960
Total_doses_ordered,93280
total_pouluation,130808
Male-65 years and older,10919
Male-55-64 years,5289
Male-45-54 years,3904
Male-20-44 years,10235
Male-Less than 20 years,2917
Female-65 years and older,12918
Female-55-64 years,6378
Female-45-54 years,4463
Female-20-44 years,10215
Female-Less than 20 years,2959
"American Indian or Alaska Native, non-Hispanic",336
"Asian or Pacific Islander, non-Hispanic",1333
"Black or African American, non-Hispanic",1339
Unknown,9440
Other Race,10655
Hispanic or Latino,17156
"White, non-Hispanic",30030
